TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Special,fieldingPosition,wktDetails
28,115,KIC Asalanka,lbw,,29,2,v Sri Lanka,Mohali,India,04-Mar-22,Test # 2452,bumrah-wkt-115,"57.6 what a delivery! Slower offcutter, straightening from the fuller side of a length, and Asalanka is completely deceived. Plays the angle, misses the flick, and he ends up walking into the ball. The ball zips past the outside edge to hit the back pad, and there's a big appeal that's turned down. India have reviewed... A great review, it turns out, because it's straightening to hit the top of middle stump - three reds! Another for Bumrah's collection of bamboozled batters 161/5",,,"115. KIC Asalanka lbw Bumrah
Test Match#: 28: v Sri Lanka at Mohali in 2022 (2nd innings)"
29,116,BKG Mendis,caught,SS Iyer,2,2,v Sri Lanka,Bengaluru,India,12-Mar-22,Test # 2456,bumrah-wkt-116,"2.1 Bumrah strikes! Fuller outside off, this one moves away from Mendis who drives at it without much footwork. Gets an outside edge and Iyer takes a nice, low catch at third slip 2/1",,slip-cordon,"116. BKG Mendis SS Iyer b Bumrah
Test Match#: 29: v Sri Lanka at Bengaluru in 2022 (2nd innings)"
29,117,HDRL Thirimanne,caught,SS Iyer,8,2,v Sri Lanka,Bengaluru,India,12-Mar-22,Test # 2456,bumrah-wkt-117,"4.1 and he picks up another. Iyer gobbles up one more. Was a length ball outside off, Thirimanne pokes at it, gets an outside edge. Iyer dives forward but it doesn't stick straightaway. Iyer though holds on to it between his arms and chest before shifting it to his hands as he tumbles 14/2",,slip-cordon,"117. HDRL Thirimanne SS Iyer b Bumrah
Test Match#: 29: v Sri Lanka at Bengaluru in 2022 (2nd innings)"
29,118,AD Mathews,caught,RG Sharma,43,2,v Sri Lanka,Bengaluru,India,12-Mar-22,Test # 2456,bumrah-wkt-118,"28.1 and he takes Mathews with him. This is a huge wicket. He has guided a slower ball to second slip. This has been an excellent innings on a tough pitch, but he has made an error here. This is short of a length, and sits in front of him. Mathews just follows it and plays the one-day dab. Gets the edge, and Rohit catches it at second slip 85/6",,slip-cordon,"118. AD Mathews RG Sharma b Bumrah
Test Match#: 29: v Sri Lanka at Bengaluru in 2022 (2nd innings)"
29,119,L Embuldeniya,caught,RR Pant,1,2,v Sri Lanka,Bengaluru,India,12-Mar-22,Test # 2456,bumrah-wkt-119,32.2 an early wicket for India. A short ball from around the wicket. Embuldeniya goes for the pull but ends up top-edging it behind the stumps. Pant takes a couple of steps to his right and settles under it 95/7,,Keeper,"119. L Embuldeniya RR Pant b Bumrah
Test Match#: 29: v Sri Lanka at Bengaluru in 2022 (2nd innings)"
29,120,N Dickwella,caught,RR Pant,21,2,v Sri Lanka,Bengaluru,India,12-Mar-22,Test # 2456,bumrah-wkt-120,"34.2 first five-for for Bumrah in India. A short one, angling towards the batter. Dickwella arches back but fails to get his bat out of the line. The ball kissed the glove before settling into Pant's gloves. Bumrah looks in the umpire's direction and he raises the finger up 100/9",,Keeper,"120. N Dickwella RR Pant b Bumrah
Test Match#: 29: v Sri Lanka at Bengaluru in 2022 (2nd innings)"
29,121,HDRL Thirimanne,lbw,,0,4,v Sri Lanka,Bengaluru,India,12-Mar-22,Test # 2456,bumrah-wkt-121,"0.3 struck on the pad and given! Thirimanne reviews immediately. The ball swung back in wickedly, Thiri had to scamper his way towards getting some bat on it. The bone of contention here is if it hit the pad first or the bat. Replays confirm it was pad first and Thiri is a dead duck. Nitin Menon's decision is upheld as Sri Lanka are jolted early. 0/1",,,"121. HDRL Thirimanne lbw Bumrah
Test Match#: 29: v Sri Lanka at Bengaluru in 2022 (2nd innings)"
29,122,FDM Karunaratne,bowled,,107,4,v Sri Lanka,Bengaluru,India,12-Mar-22,Test # 2456,bumrah-wkt-122,"56.5 got 'im! Full, fast and a difficult one to get past even for the well set skipper. Just a hint of movement off the seam after pitching, and Karunaratne looks for the drive through cover, but is beaten comprehensively. Bumrah pumps his fist, but it is the Sri Lankan captain who walks off to a healthy dose of applause from the Chinnaswamy crowd 204/7",,,"122. FDM Karunaratne b Bumrah
Test Match#: 29: v Sri Lanka at Bengaluru in 2022 (2nd innings)"
29,123,RAS Lakmal,bowled,,1,4,v Sri Lanka,Bengaluru,India,12-Mar-22,Test # 2456,bumrah-wkt-123,"58.2 the dance won't last long! Handshakes from all of the Indians out in the middle, and applause from the crowd as Lakmal makes his way back. This was fast, right up there, and honing in on leg stump. Bumrah, in fact, was the first to sprint over and pat Lakmal on the back. What a champion player he has been for them, especially in their high points in Test cricket over the past three or four international seasons 208/9",,,"123. RAS Lakmal b Bumrah
Test Match#: 29: v Sri Lanka at Bengaluru in 2022 (2nd innings)"
30,124,AZ Lees,bowled,,6,2,v England,Birmingham,England,01-Jul-22,Test # 2470,bumrah-wkt-124,"2.6 India won't mind the extra ball. A length ball that came in a touch with the angle. Lees, it seems, was expecting it to hold its line and, therefore, ends up playing outside the line, leaving the gap between bat and pad. That ball sneaks in through that, hitting Lees on the back leg before clattering into the stumps 16/1",,,"124. AZ Lees b Bumrah
Test Match#: 30: v England at Birmingham in 2022 (2nd innings)"
30,125,Z Crawley,caught,Shubman Gill,9,2,v England,Birmingham,England,01-Jul-22,Test # 2470,bumrah-wkt-125,"4.1 Bumrah strikes again! A full-length ball in the channel, Crawley goes for the drive but gets an outside edge and Gill takes a regulation catch at third slip. Both England openers are back in the hut 27/2",,slip-cordon,"125. Z Crawley Shubman Gill b Bumrah
Test Match#: 30: v England at Birmingham in 2022 (2nd innings)"
30,126,OJ Pope,caught,SS Iyer,10,2,v England,Birmingham,England,01-Jul-22,Test # 2470,bumrah-wkt-126,"10.6 and once again the extra ball fetches a wicket. Full and wide outside off, Pope goes for the drive away from the body. Gets a healthy outside edge that flies to Iyer's right at second slip. It pops out but hits him on the chest and he pouches the rebound 44/3",,slip-cordon,"126. OJ Pope SS Iyer b Bumrah
Test Match#: 30: v England at Birmingham in 2022 (2nd innings)"
30,127,Z Crawley,bowled,,46,4,v England,Birmingham,England,01-Jul-22,Test # 2470,bumrah-wkt-127,"21.4 Bumrah comes back and hands India the breakthrough, hitting the top of off stump. This is what India needed, minutes before the tea break. Much fuller and Bumrah brings this back into Crawley from over the wicket. Crawley thought that this would veer away or hold its line outside off but it nips back in to hit the top of off stump. He offers no shot. The bails go flying 107/1",,,"127. Z Crawley b Bumrah
Test Match#: 30: v England at Birmingham in 2022 (2nd innings)"
30,128,OJ Pope,caught,RR Pant,0,4,v England,Birmingham,England,01-Jul-22,Test # 2470,bumrah-wkt-128,"23.1 nicked him off! Bumrah strikes first ball after tea! Searching line around fourth stump, and Pope's furtive glance behind tells you everything you need to know. Perfect length and straightening to plant a gossamer kiss on the outside edge of the bat. Up goes the finger, up go the strong contingent of Indians in the ground 107/2",,Keeper,"128. OJ Pope RR Pant b Bumrah
Test Match#: 30: v England at Birmingham in 2022 (2nd innings)"
31,129,T de Zorzi,caught,YBK Jaiswal,28,2,v South Africa,Centurion,South Africa,26-Dec-23,Test # 2520,bumrah-wkt-129,"28.6  there's a wicket finally! Bumrah exults, Kohli lets out a war cry and the Indians are pumped. Bumrah gets this length ball to angle in and straighten off the seam, de Zorzi is squared up as he jabs at this to get a thick edge. Jaiswal at third slip takes the regulation catch without a fuss. 104/2",,slip-cordon,"129. T de Zorzi YBK Jaiswal b Bumrah
Test Match#: 31: v South Africa at Centurion in 2023 (2nd innings)"
31,130,KD Petersen,bowled,,2,2,v South Africa,Centurion,South Africa,26-Dec-23,Test # 2520,bumrah-wkt-130,"30.2  chopped on! India have two in two overs and it's that man Bumrah again. This wasn't all that short for Petersen to try and go for a cut, the ball was also angling in so he was denied room, he still went through with the shot and ended up playing on. 113/3",,,"130. KD Petersen b Bumrah
Test Match#: 31: v South Africa at Centurion in 2023 (2nd innings)"
31,131,K Rabada,bowled,,1,2,v South Africa,Centurion,South Africa,26-Dec-23,Test # 2520,bumrah-wkt-131,"100.5 Bumrah knocks out the off stump and has it cartwheeling on the ground. Some cheer for India fans. Around the wicket, on a good length, angling in, tricks Rabada into playing for the inward angle, but it straightens away enough to beat the outside edge and hit the top of off stump. Cracker of a delivery from Bumrah after the lunch break 392/8",,,"131. K Rabada b Bumrah
Test Match#: 31: v South Africa at Centurion in 2023 (2nd innings)"
31,132,N Burger,bowled,,0,2,v South Africa,Centurion,South Africa,26-Dec-23,Test # 2520,bumrah-wkt-132,"108.4 Bumrah yorks Burger. Bavuma won't bat for SA. Jansen is stranded on 84. Right in the blockhole from round the stumps, even a top-order batter might have found it difficult to keep it out. Bumrah hits the base of off stump with an accurate yorker 408/9",,,"132. N Burger b Bumrah
Test Match#: 31: v South Africa at Centurion in 2023 (2nd innings)"
32,133,T Stubbs,caught,RG Sharma,3,1,v South Africa,Cape Town,South Africa,03-Jan-24,Test # 2522,bumrah-wkt-133,"8.3 there's no doubt whatsoever this time! Stubbs jabs at this length ball that darts back in, takes the inside edge onto the thigh pad as it lobs to skipper Rohit at short leg. 11/3",,close-in,"133. T Stubbs RG Sharma b Bumrah
Test Match#: 32: v South Africa at Cape Town in 2024 (2nd innings)"
32,134,N Burger,caught,YBK Jaiswal,4,1,v South Africa,Cape Town,South Africa,03-Jan-24,Test # 2522,bumrah-wkt-134,"22.6 Nine down. Full outside off. Burger slashes at it and gets an outside edge. It was flying towards third slip, where Jaiswal leans back and takes it with fingers point upwards. Third catch for him 55/9",,InField,"134. N Burger YBK Jaiswal b Bumrah
Test Match#: 32: v South Africa at Cape Town in 2024 (2nd innings)"
32,135,T Stubbs,caught,KL Rahul,1,3,v South Africa,Cape Town,South Africa,03-Jan-24,Test # 2522,bumrah-wkt-135,"15.2 takes the shoulder of the bat, good bye and goodnight! As a batter, that's a corker you can't do much about. Stubbs pushes hard, this one rears up awkwardly after hitting hard length outside off and Rahul does the rest. We now have 23 wickets and counting. Still 10 minutes to go to stumps. 45/3",,slip-cordon,"135. T Stubbs KL Rahul b Bumrah
Test Match#: 32: v South Africa at Cape Town in 2024 (2nd innings)"
32,136,DG Bedingham,caught,KL Rahul,11,3,v South Africa,Cape Town,South Africa,03-Jan-24,Test # 2522,bumrah-wkt-136,"17.6 that's the first one of the day and it's Bumrah's brilliance that accounts for Bedingham. Forces him to play by angling it in around off, he shapes to play a booming drive but is nowhere to the pitch of the ball, was hitting it on the up but is done in by the late seam movement. The thick edge is pouched nicely by Rahul. 66/4",,slip-cordon,"136. DG Bedingham KL Rahul b Bumrah
Test Match#: 32: v South Africa at Cape Town in 2024 (2nd innings)"
32,137,K Verreynne,caught,Mohammed Siraj,9,3,v South Africa,Cape Town,South Africa,03-Jan-24,Test # 2522,bumrah-wkt-137,"21.1  a poor stroke and India have another. Verreynne looks to pull but the length isn't quite there, it ends up being a short-arm jab that lobs off the top part of the bat and Siraj takes a regulation catch moving a few steps backwards at mid-on. 85/5",,InField,"137. K Verreynne Mohammed Siraj b Bumrah
Test Match#: 32: v South Africa at Cape Town in 2024 (2nd innings)"
32,138,M Jansen,caught,JJ Bumrah,11,3,v South Africa,Cape Town,South Africa,03-Jan-24,Test # 2522,bumrah-wkt-138,"23.5 what a catch on his followthrough! Jansen sees this overpitched and picks the bones out of this straight drive. It's absolutely travelling but it gets stuck into Bumrah's buckethands, around the midriff. Excellent reflexes. 103/6",,return catch,"138. M Jansen JJ Bumrah b Bumrah
Test Match#: 32: v South Africa at Cape Town in 2024 (2nd innings)"
32,139,KA Maharaj,caught,SS Iyer,3,3,v South Africa,Cape Town,South Africa,03-Jan-24,Test # 2522,bumrah-wkt-139,"25.2 that's a five-fer for Bumrah! Bowls it full on off, Maharaj thinks he has the carrot and chases the drive, ends up slicing it to gully where Iyer takes a regulation catch. It's Bumrah's ninth five-for in Tests. 111/7",,close-in,"139. KA Maharaj SS Iyer b Bumrah
Test Match#: 32: v South Africa at Cape Town in 2024 (2nd innings)"
32,140,L Ngidi,caught,YBK Jaiswal,8,3,v South Africa,Cape Town,South Africa,03-Jan-24,Test # 2522,bumrah-wkt-140,"36.5 Indeed, Bumrah wraps up SA's innings. He finishes with a six-for. On a length, angling in at off, which means Ngidi has to play at this, but it nips away late to take the outside edge which flies to Jaiswal at third slip 176/10",,slip-cordon,"140. L Ngidi YBK Jaiswal b Bumrah
Test Match#: 32: v South Africa at Cape Town in 2024 (2nd innings)"
33,141,Rehan Ahmed,caught,KS Bharat,13,1,v England,Hyderabad,India,25-Jan-24,Test # 2525,bumrah-wkt-141,"48.3  beautiful bowling from Bumrah! He comes up with these magic slower balls time and again, when batters least expect it. This one cuts back in wildly from outside off, Rehan is foxed by this, and because he's already hung his bat out, it's too late to bail out. The ball kisses the inside edge and carried through to Bharat, who dives forward to complete an excellent catch. 155/7",,Keeper,"141. Rehan Ahmed KS Bharat b Bumrah
Test Match#: 33: v England at Hyderabad in 2024 (2nd innings)"
33,142,BA Stokes,bowled,,70,1,v England,Hyderabad,India,25-Jan-24,Test # 2525,bumrah-wkt-142,"64.3  beauty to castle Stokes! Gets this to angle in from round the stumps, Stokes was looking to give himself some room to pick the gap over cover but saw this jag away to beat the outside edge and hit top of middle. having given himself room, Stokes strangely seemed to suddenly try and defend instead of going over the top. At Bumrah's pace, you have no chance once you've erred, especially when he's on target. 246/10",Yes,,"142. BA Stokes b Bumrah
Test Match#: 33: v England at Hyderabad in 2024 (2nd innings)"
33,143,BM Duckett,bowled,,47,3,v England,Hyderabad,India,25-Jan-24,Test # 2525,bumrah-wkt-143,"18.5 The off stump goes cartwheeling. Bumrah is pumped up. I haven't seen him this animated in a long time. A loud roar and a fist pump. It was a length ball that came in with the angle - the shine, too, was on the inside. Duckett looked to smash it through covers but ended up playing all around 113/2",,,"143. BM Duckett b Bumrah
Test Match#: 33: v England at Hyderabad in 2024 (2nd innings)"
33,144,JE Root,lbw,,2,3,v England,Hyderabad,India,25-Jan-24,Test # 2525,bumrah-wkt-144,"20.6 a confident appeal for lbw and given. It was a length ball that came in with the shine. Root pushed at it, got beaten on the inside edge and got hit on the front leg near the knee roll. The ball-tracking shows it would just clipped the leg stump, so we go with the on-field umpire's call, which was out 117/3",,,"144. JE Root lbw Bumrah
Test Match#: 33: v England at Hyderabad in 2024 (2nd innings)"
33,145,Rehan Ahmed,caught,KS Bharat,28,3,v England,Hyderabad,India,25-Jan-24,Test # 2525,bumrah-wkt-145,"82.3 edged and taken by Bharat, the keeper this time! Bumrah gives India the breakthrough with the old ball. On a length, threatens to angle in from over the wicket, but (reverse)swings away outside off. Rehan meekly pushes at it and nicks it behind 339/7",,Keeper,"145. Rehan Ahmed KS Bharat b Bumrah
Test Match#: 33: v England at Hyderabad in 2024 (2nd innings)"
33,146,OJ Pope,bowled,,196,3,v England,Hyderabad,India,25-Jan-24,Test # 2525,bumrah-wkt-146,"102.1 off stump flattened looking to reverse-scoop! A very Bazball way to go but Pope has played magnificently to give England a sniff. Think it was Bumrah's offcutter, actually, pinpoint accurate. No regrets from Pope, who gets plenty of handshakes form the Indians as he walks off. He looked at sea in the first innings but buckled his swash second time around to play one of the great innings by an Englishman in India 420/10",,,"146. OJ Pope b Bumrah
Test Match#: 33: v England at Hyderabad in 2024 (2nd innings)"
34,147,JE Root,caught,Shubman Gill,5,2,v England,Visakhapatnam,India,02-Feb-24,Test # 2526,bumrah-wkt-147,"25.5 reverse, edged, gone! Bumrah gets Root for the eighth time in Tests... Make that 120 for 3, Pradeep. Excellent bowling from India's premier seamer. Pulled Root this way and that with the reversing ball. Could have left this on line but he wasn't sure if it was going to come back in or leave him. Found out the hard way 123/3",,slip-cordon,"147. JE Root Shubman Gill b Bumrah
Test Match#: 34: v England at Visakhapatnam in 2024 (2nd innings)"
34,148,OJ Pope,bowled,,23,2,v England,Visakhapatnam,India,02-Feb-24,Test # 2526,bumrah-wkt-148,"27.5 cleaned up! BOOM-rah strikes! Emphatically yorked, two stumps out of the ground, India rallying around their fast-bowling kingpin. Reverse-swinging into the base of middle and leg, Pope is completely done and plays over it. India go bang-bang-bang to drag the game back their way. Fifth time Pope has gone to Bumrah in Tests 136/4",Yes,,"148. OJ Pope b Bumrah
Test Match#: 34: v England at Visakhapatnam in 2024 (2nd innings)"
34,149,JM Bairstow,caught,Shubman Gill,25,2,v England,Visakhapatnam,India,02-Feb-24,Test # 2526,bumrah-wkt-149,"35.4 Bumrah has one more. He has mixed inswingers and outswingers superbly here. And there is not much movement, just some shape. Bumrah has seen Bairstow is staying inside the line to avoid being lbw to the inswinger, so he mixes in a wide length ball. Bairstow pushes at it away from the body. Gets the edge. Gill takes the catch at first slip. Bumrah to Bairstow since tea: 10 balls, 0 runs, and out 159/5",,slip-cordon,"149. JM Bairstow Shubman Gill b Bumrah
Test Match#: 34: v England at Visakhapatnam in 2024 (2nd innings)"
34,150,BA Stokes,bowled,,47,2,v England,Visakhapatnam,India,02-Feb-24,Test # 2526,bumrah-wkt-150,"49.2 magic! Straight through and bowled 'im! Stokes drops his bat in despair... As if to say, 'what could I do?' Seaming back in and it stays down, beats Stokes past the outside edge slides under the toe of the bat and flattens off stump. Just two balls for the trump card to come up trumps 229/8",,,"150. BA Stokes b Bumrah
Test Match#: 34: v England at Visakhapatnam in 2024 (2nd innings)"
34,151,TW Hartley,caught,Shubman Gill,21,2,v England,Visakhapatnam,India,02-Feb-24,Test # 2526,bumrah-wkt-151,"51.2 pitch-up ball nicked to slip, Bumrah has five! He said that Bazball might help him get wickets... Hartley did a decent job of holding up an end, but the innings is collapsing around him. Full on off stump, goes for the drive and Gill snaffles another at first slip 234/9",,slip-cordon,"151. TW Hartley Shubman Gill b Bumrah
Test Match#: 34: v England at Visakhapatnam in 2024 (2nd innings)"
34,152,JM Anderson,lbw,,6,2,v England,Visakhapatnam,India,02-Feb-24,Test # 2526,bumrah-wkt-152,"55.5 pinned him in front, six for Jasball! Up goes the finger and Anderson isn't going to bother wasting time on a review. Full length and nipping in past the bat to hit him on the back knee roll in front of middle and leg. Salmon and trout; all over, red rover 253/10",,,"152. JM Anderson lbw Bumrah
Test Match#: 34: v England at Visakhapatnam in 2024 (2nd innings)"
34,153,JM Bairstow,lbw,,26,4,v England,Visakhapatnam,India,02-Feb-24,Test # 2526,bumrah-wkt-153,"42.4 smacked on the back leg, up goes the finger! Bairstow reviews, looked possibly a touch high on first glance. But he was back in the crease and it only needs to be clipping... Length ball, seaming in past the inside edge, umpire's call on leg stump! Bumrah rips out another and India's fears of being Bazballed again will begin to ebb away 194/6",,,"153. JM Bairstow lbw Bumrah
Test Match#: 34: v England at Visakhapatnam in 2024 (2nd innings)"
34,154,BT Foakes,caught,JJ Bumrah,36,4,v England,Visakhapatnam,India,02-Feb-24,Test # 2526,bumrah-wkt-154,"64.6 chipped back to the bowler, Bumrah does it again! Slower ball and Foakes is foxed. Beautifully bowled offcutter, batter through his shot early and Jassie stoops to scoop it up in his follow through. India two away now. Nerves dissipating 275/8",,return catch,"154. BT Foakes JJ Bumrah b Bumrah
Test Match#: 34: v England at Visakhapatnam in 2024 (2nd innings)"
34,155,TW Hartley,bowled,,36,4,v England,Visakhapatnam,India,02-Feb-24,Test # 2526,bumrah-wkt-155,"69.2 fabulous delivery, wins India the match! Reverse outswinger, beats Hartley and all ends up and flattens off stump. Actually flicked off the pads, so could have been out in two different ways. Bumrah finishes what he started with a six-wicket bag in the first innings, securing victory by 106 runs to level the series 292/10",,,"155. TW Hartley b Bumrah
Test Match#: 34: v England at Visakhapatnam in 2024 (2nd innings)"
35,156,JE Root,caught,YBK Jaiswal,18,2,v England,Rajkot,India,15-Feb-24,Test # 2530,bumrah-wkt-156,"39.5 Root out against the run of play! And this is a big wicket for India's morale, inside five overs of day three. Root falls prey to his own improvisation, trying to play a reverse scoop/reverse ramp over the slip cordon, but Jaiswal at second slip keeps his eyes on the ball and takes a very tricky catch. This was a full ball just outside off, and Root wanted to make full use of the acres of space at deep third. Wasn't to be and that's England three down! 224/3",,slip-cordon,"156. JE Root YBK Jaiswal b Bumrah
Test Match#: 35: v England at Rajkot in 2024 (2nd innings)"
35,157,Z Crawley,lbw,,11,4,v England,Rajkot,India,15-Feb-24,Test # 2530,bumrah-wkt-157,"39.5 Root out against the run of play! And this is a big wicket for India's morale, inside five overs of day three. Root falls prey to his own improvisation, trying to play a reverse scoop/reverse ramp over the slip cordon, but Jaiswal at second slip keeps his eyes on the ball and takes a very tricky catch. This was a full ball just outside off, and Root wanted to make full use of the acres of space at deep third. Wasn't to be and that's England three down! 224/3",,,"157. Z Crawley lbw Bumrah
Test Match#: 35: v England at Rajkot in 2024 (2nd innings)"
36,158,TW Hartley,lbw,,20,3,v England,Dharamsala,India,07-Mar-24,Test # 2534,bumrah-wkt-158,"34.2 the perfect slower ball. He has flummoxed much much better batters with this. Just the perfect delivery. Lands on a length and on off, turns against the angle, just holding its line, beats the outside edge. Plumb in front. England don't even review. Actually my eyes might be deceiving me. This might not be the slower ball, but it did hold its line 141/7",,,"158. TW Hartley lbw Bumrah
Test Match#: 36: v England at Dharamsala in 2024 (2nd innings)"
36,159,MA Wood,lbw,,0,3,v England,Dharamsala,India,07-Mar-24,Test # 2534,bumrah-wkt-159,"34.4 yorker, on the toe, given out lbw, but Wood has reviewed it immediately. Okay I don't think he has hit it. The ball has almost landed on the toe. A couple of inches short of the boot. Now we need to see the line. The ball tracking shows it is hitting middle. India get closer to an innings win 141/8",,,"159. MA Wood lbw Bumrah
Test Match#: 36: v England at Dharamsala in 2024 (2nd innings)"
