TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Milestone,fieldingPosition,wktDetails,player
34,120,BA Stokes,lbw,,23,1,v England,Southampton,England,30-Aug-18,Test # 2317,shami-wkt-120,"wicked in-ducker from Shami, Stokes is tucked up and thumped on the pad... and up goes Oxenford's finger! Stokes will review, hoping that all the angles don't line up against him, but the odds look slim. Yep, that's hitting middle and leg! Stokes wasn't far enough forward to get outside the line, the ball whistled back in past the inside edge and pinned him like a butterfly on a collector's board.",,,"120. BA Stokes lbw  Shami
Test Match#: 34.0: v England at Southampton in 2018 (1st innings)",Shami
34,121,KK Jennings,lbw,,36,3,v England,Southampton,England,30-Aug-18,Test # 2317,shami-wkt-121,"pitched up, this nips in to hit the back pad - given! Jennings looks ruefully to his captain, then decides to review, but I don't think this is going to save him... Yep, that's plumb, Hawk-Eye projecting the ball would have crashed into leg stump! It stayed a touch low, which might encourage England's bowlers when it comes to the fourth innings but will be no consolation for Jennings. What a moment to strike!.",,,"121. KK Jennings lbw  Shami
Test Match#: 34.0: v England at Southampton in 2018 (2nd innings)",Shami
34,122,JM Bairstow,bowled,,0,3,v England,Southampton,England,30-Aug-18,Test # 2317,shami-wkt-122,"through him! Neck, crop and every other awesome adjective ever invented. A little loose from Bairstow, only inching forward, trying to drive a proper swing bowler on the up - while the ball is reversing. It's a tactic fraught with risk and all of it comes to roost as Shami swings a pitched up delivery from well outside off to clatter into Bairstow's stumps. Sensational delivery, seconds after lunch.",,,"122. JM Bairstow b  Shami
Test Match#: 34.0: v England at Southampton in 2018 (2nd innings)",Shami
34,123,AU Rashid,caught,RR Pant,11,3,v England,Southampton,England,30-Aug-18,Test # 2317,shami-wkt-123,"extra bounce, kisses the edge - gone! India strike with the final ball in the day, an excellent delivery from Shami that held its line and found the edge of the bat with Rashid hanging back. England do lose their eighth wicket before stumps, but they have a decent lead in this game.",,Keeper,"123. AU Rashid c RR Pant b Shami
Test Match#: 34.0: v England at Southampton in 2018 (2nd innings)",Shami
34,124,SCJ Broad,caught,RR Pant,0,3,v England,Southampton,England,30-Aug-18,Test # 2317,shami-wkt-124,caught behind! Just the start Shastri would have wanted in his big booming voice. And Shami provides it on a platter. A tasty little delivery outside off. Too tasty for Broad to leave alone. Goes flashing at it and only succeeds in giving Pant a simple catch.,,Keeper,"124. SCJ Broad c RR Pant b Shami
Test Match#: 34.0: v England at Southampton in 2018 (2nd innings)",Shami
35,125,KK Jennings,bowled,,10,3,v England,The Oval,England,07-Sep-18,Test # 2318,shami-wkt-125,"no need for reviews on this. Shami finally strikes. Poor shot from Jennings. Poor leave actually. The first rule of leaving is that you cover your stumps and at least make the umpire make the lbw decision. Here Jennings leaves the ball, but his off stump is exposed. This length ball seams back in, and takes the top of that exposed off stump.",Yes,,"125. KK Jennings b  Shami
Test Match#: 35.0: v England at The Oval in 2018 (2nd innings)",Shami
35,126,JM Bairstow,bowled,,18,3,v England,The Oval,England,07-Sep-18,Test # 2318,shami-wkt-126,"Bairstow is bowled one final time this series. Finally some luck for Shami. Bairstow pushes at an outswinger, but the ball doesn't move as much as he expects. Takes the inside edge onto the stumps. Bairstow falls but he batted with the right intent. England now lead by 395.",,,"126. JM Bairstow b  Shami
Test Match#: 35.0: v England at The Oval in 2018 (2nd innings)",Shami
36,127,KC Brathwaite,bowled,,2,2,v West Indies,Rajkot,India,04-Oct-18,Test # 2319,shami-wkt-127,"this is a cracker of a delivery from Shami! The off-pole takes a walk and it has to do with a number of deliveries he kept taking away. Brathwaite plays for one that moves away but this one hits the seam and jags back in to sneak through the gap, hit the pad and crash into the stumps. The third umpire has a look at a number of replays and gives it in favour of the bowler. .",,,"127. KC Brathwaite b  Shami
Test Match#: 36.0: v West Indies at Rajkot in 2018 (1st innings)",Shami
36,128,KOA Powell,lbw,,1,2,v West Indies,Rajkot,India,04-Oct-18,Test # 2319,shami-wkt-128,"going too far across and he's gone. Shami has struck from around the wicket and is on fire. Middle and leg visible at the point of impact. On a Rajkot track where it's hard to get it bounce, those can never be overturned. Powell, apart from playing a poor shot, has also burnt a review KL Rahul style.",,,"128. KOA Powell lbw  Shami
Test Match#: 36.0: v West Indies at Rajkot in 2018 (1st innings)",Shami
37,129,TM Head,caught,RR Pant,72,2,v Australia,Adelaide,Australia,06-Dec-18,Test # 2333,shami-wkt-129,"nicks and gone! Beauty of a delivery. Goes round the stumps, gets this length ball to angle in and straighten, Head is forced to play but the ball moves away a wee bit very late and he's squared up as he gets the edge through to Pant. End of a superb innings. A maiden Test ton isn't to be, but who knows, this could be worth much more. Only time will tell..",,Keeper,"129. TM Head c RR Pant b Shami
Test Match#: 37.0: v Australia at Adelaide in 2018 (1st innings)",Shami
37,130,JR Hazlewood,caught,RR Pant,0,2,v Australia,Adelaide,Australia,06-Dec-18,Test # 2333,shami-wkt-130,"has a waft at that and is gone! Width on offer, he looks to punch on the up but is done in by the zip off the deck, late on the stroke and Hazlewood gets the thinnest of edges through to Pant. India have a slender lead..",,Keeper,"130. JR Hazlewood c RR Pant b Shami
Test Match#: 37.0: v Australia at Adelaide in 2018 (1st innings)",Shami
37,131,MS Harris,caught,RR Pant,26,4,v Australia,Adelaide,Australia,06-Dec-18,Test # 2333,shami-wkt-131,"caught behind! Not a great shot. This was a good length, a hint of width but nowhere near short or wide enough to cut, he flashes and gets an edge and Pant takes yet another catch..",,Keeper,"131. MS Harris c RR Pant b Shami
Test Match#: 37.0: v Australia at Adelaide in 2018 (2nd innings)",Shami
37,132,PSP Handscomb,caught,CA Pujara,14,4,v Australia,Adelaide,Australia,06-Dec-18,Test # 2333,shami-wkt-132,"caught at midwicket! Short ball beat him for pace! He tried to pull, miscued completely, it came off the sticker as he was well late on the shot, it spooned to midwicket where Pujara gleefully accepted the catch.",,InField,"132. PSP Handscomb c CA Pujara b Shami
Test Match#: 37.0: v Australia at Adelaide in 2018 (2nd innings)",Shami
37,133,MA Starc,caught,RR Pant,28,4,v Australia,Adelaide,Australia,06-Dec-18,Test # 2333,shami-wkt-133,"there's the wicket and who else but Shami to strike! Starc goes and India breathes a sign of relief. Dagger through the Australian hearts. Starc had been admirably leaving such deliveries prior to this. Now he can't resist temptation to give this an absolute thrashing on the up, gets a big edge through to Pant. Just as Australia were starting to believe..",,Keeper,"133. MA Starc c RR Pant b Shami
Test Match#: 37.0: v Australia at Adelaide in 2018 (2nd innings)",Shami
38,134,SE Marsh,caught,RR Pant,5,3,v Australia,Perth,Australia,14-Dec-18,Test # 2334,shami-wkt-134,"under edge on a pull! India are alive...a short ball, angled across outside off, Marsh goes for a pull, would have been fetching it quite a lot, and can only get a thin bottom edge.",,Keeper,"134. SE Marsh c RR Pant b Shami
Test Match#: 38.0: v Australia at Perth in 2018 (2nd innings)",Shami
38,135,TM Head,caught,I Sharma,19,3,v Australia,Perth,Australia,14-Dec-18,Test # 2334,shami-wkt-135,"caught at third man! Twice in the Test match he's caught at third man! The trap was set. Short and wide, he flashes the cut shot, gets a top edge that flies to third man and Ishant takes an excellent catch moving to his right! Great work by India. Not terribly smart batting from Head.",,Outfield,"135. TM Head c I Sharma b Shami
Test Match#: 38.0: v Australia at Perth in 2018 (2nd innings)",Shami
38,136,TD Paine,caught,V Kohli,37,3,v Australia,Perth,Australia,14-Dec-18,Test # 2334,shami-wkt-136,"vicious short ball, fending to the slips! And there are plenty of words in the middle. A well-directed short ball, extra bounce from back of a length, at Paine's chest, he couldn't get out of the way, the ball balloons off the gloves and is taken by Kohli. It's a bit heated in the middle.",,slip-cordon,"136. TD Paine c V Kohli b Shami
Test Match#: 38.0: v Australia at Perth in 2018 (2nd innings)",Shami
38,137,AJ Finch,caught,RR Pant,25,3,v Australia,Perth,Australia,14-Dec-18,Test # 2334,shami-wkt-137,"gloved down the leg side! It's all happening...Finch gets the expected shorter delivery straightaway, angling down the leg side, Finch aims to work it away, takes the glove through to Pant.",,Keeper,"137. AJ Finch c RR Pant b Shami
Test Match#: 38.0: v Australia at Perth in 2018 (2nd innings)",Shami
38,138,UT Khawaja,caught,RR Pant,72,3,v Australia,Perth,Australia,14-Dec-18,Test # 2334,shami-wkt-138,"edged, and taken, another flying delivery! Shami on fire in Perth. Not much Khawaja could have done about that. It's leapt from short of a length, climbed viciously and feathers the gloves to Pant.",,Keeper,"138. UT Khawaja c RR Pant b Shami
Test Match#: 38.0: v Australia at Perth in 2018 (2nd innings)",Shami
38,139,NM Lyon,caught,GH Vihari,5,3,v Australia,Perth,Australia,14-Dec-18,Test # 2334,shami-wkt-139,"carved to deep point It's six for Shami...short of a length, angling back in at Lyon, cramps him for room as he tries to go through the off side and it's a simple catch.",,InField,"139. NM Lyon c GH Vihari b Shami
Test Match#: 38.0: v Australia at Perth in 2018 (2nd innings)",Shami
39,140,PJ Cummins,bowled,,17,2,v Australia,Melbourne,Australia,26-Dec-18,Test # 2337,shami-wkt-140,"top of off! Superb, superb over from Shami. Every ball he's looked like barging through the defences, and now he does. Dips in from just outside off, at a good length. Cummins hangs the bat inside the line, expecting a little more movement perhaps. Or he's just been done by a subtle change in line. Whatever it is, it's top class from Shami. India have the breakthrough.",,,"140. PJ Cummins b  Shami
Test Match#: 39.0: v Australia at Melbourne in 2018 (1st innings)",Shami
39,141,UT Khawaja,lbw,,33,4,v Australia,Melbourne,Australia,26-Dec-18,Test # 2337,shami-wkt-141,"slow finger of death from the umpire! Khawaja has a chat and reviews this lbw call. A length ball that pitched just outside off but zipping into the batsman's pads. Khawaja defends inside the line of the ball, and the delivery has hit his back leg. Looks like the ball will hit off stump... and ball-tracker confirms it! Breakthrough for India and Australia lose a review as well.",,,"141. UT Khawaja lbw  Shami
Test Match#: 39.0: v Australia at Melbourne in 2018 (2nd innings)",Shami
39,142,MA Starc,bowled,,18,4,v Australia,Melbourne,Australia,26-Dec-18,Test # 2337,shami-wkt-142,"Shami cleans up Starc. India're two away from 2-1. Fuller than a good length, angling in from round the wicket, straightens a touch, Starc aims for a roundhouse swipe and only collects thin air. Knocked 'em over.",,,"142. MA Starc b  Shami
Test Match#: 39.0: v Australia at Melbourne in 2018 (2nd innings)",Shami
40,143,M Labuschagne,caught,AM Rahane,38,2,v Australia,Sydney,Australia,03-Jan-19,Test # 2339,shami-wkt-143,"what a catch, finally the trap works. Rahane getting both hands, low to his right, at the squarer short midwicket. Was fuller on the pads, Labuschagne failed to keep the flick down and Rahane, you beauty!.",,InField,"143. M Labuschagne c AM Rahane b Shami
Test Match#: 40.0: v Australia at Sydney in 2019 (1st innings)",Shami
40,144,PJ Cummins,bowled,,25,2,v Australia,Sydney,Australia,03-Jan-19,Test # 2339,shami-wkt-144,"keeps low! The moment he gets his radar right, he has the breakthrough. Shami and his big heart get the luck they need. India get the early wicket they want. Cummins - possibly the best of the Australian batsmen - is gone. He really had no hope with this ball. Pitches short of a length and scoots through under his bat even as he tries desperately to bring it down quickly enough in front of off stump.",,,"144. PJ Cummins b  Shami
Test Match#: 40.0: v Australia at Sydney in 2019 (1st innings)",Shami
41,145,JD Campbell,bowled,,23,2,v West Indies,North Sound,West Indies,22-Aug-19,Test # 2358,shami-wkt-145,"Shami strikes in his first over, with a searing yorker just outside off. Campbell looks get his bat down, gets an inside edge that ricochets into the leg stump.",,,"145. JD Campbell b  Shami
Test Match#: 41.0: v West Indies at North Sound in 2019 (1st innings)",Shami
41,146,JO Holder,caught,RR Pant,39,2,v West Indies,North Sound,West Indies,22-Aug-19,Test # 2358,shami-wkt-146,"edged and taken! And this is the big wicket of Holder. Length ball outside off, and Holder goes fishing with his bat. But he's too slow to push at it, and it finds the edge of his bat. Pant makes no mistake, and India need just one more wicket to wrap up the WI innings.",,Keeper,"146. JO Holder c RR Pant b Shami
Test Match#: 41.0: v West Indies at North Sound in 2019 (1st innings)",Shami
41,147,RL Chase,bowled,,12,4,v West Indies,North Sound,West Indies,22-Aug-19,Test # 2358,shami-wkt-147,"now Shami gets among the wickets, West Indies' last recognised batsman departs. Length ball around off, coming in with the angle, Chase was playing for the line but the ball just holds its line and clatters into off and middle. The umpires want to check for a no-ball but Shami is alright there.",,,"147. RL Chase b  Shami
Test Match#: 41.0: v West Indies at North Sound in 2019 (2nd innings)",Shami
41,148,ST Gabriel,caught,RR Pant,0,4,v West Indies,North Sound,West Indies,22-Aug-19,Test # 2358,shami-wkt-148,"there's the ninth wicket! Length ball, just outside off, and the back-foot punch takes his outside edge. Easy for Pant.",,Keeper,"148. ST Gabriel c RR Pant b Shami
Test Match#: 41.0: v West Indies at North Sound in 2019 (2nd innings)",Shami
42,149,SO Hetmyer,bowled,,34,2,v West Indies,Kingston,West Indies,30-Aug-19,Test # 2359,shami-wkt-149,"through him! Out out out, in. It's the one beating the inside edge that does Hetymyer in the end. The long game from Shami? Slides this into the corridor, full and driving length. Hetmyer takes the bait, wants to drive on the rise. Is comprehensively beaten on the inside edge and that knocks offmiddle stump.",,,"149. SO Hetmyer b  Shami
Test Match#: 42.0: v West Indies at Kingston in 2019 (1st innings)",Shami
42,150,RRS Cornwall,caught,AM Rahane,14,2,v West Indies,Kingston,West Indies,30-Aug-19,Test # 2359,shami-wkt-150,"short ball does the trick. Cornwall is caught completely by surprise and this is a terrific bouncer that takes off and is headed for his throat. Cornwall ends up fending it awkwardly, and the outside edge loops up for a comfortable catch to Rahane at gully. First proper short ball he's received this morning and it has resulted in his wicket.",Yes,close-in,"150. RRS Cornwall c AM Rahane b Shami
Test Match#: 42.0: v West Indies at Kingston in 2019 (1st innings)",Shami
42,151,JD Campbell,caught,V Kohli,16,4,v West Indies,Kingston,West Indies,30-Aug-19,Test # 2359,shami-wkt-151,"Kohli holds on! Shami's discipline finally earns him a wicket. Full, outside off, and Campbell looks for the drive. Slashes at it, and Kohli - at third slip - takes this comfortably. Now both openers are back in the shed.",,slip-cordon,"151. JD Campbell c V Kohli b Shami
Test Match#: 42.0: v West Indies at Kingston in 2019 (2nd innings)",Shami
42,152,RRS Cornwall,caught,RR Pant,1,4,v West Indies,Kingston,West Indies,30-Aug-19,Test # 2359,shami-wkt-152,"great catch by Rishabh Pant! Leaps to his left and holds onto the inside edge. Short of a length ball at off stump, comes back in off the seam. Cornwall jabs at it with gap between bat and body. Big inside edge and he had a long way to go to grab onto that.",,Keeper,"152. RRS Cornwall c RR Pant b Shami
Test Match#: 42.0: v West Indies at Kingston in 2019 (2nd innings)",Shami
42,153,KAJ Roach,caught,RR Pant,5,4,v West Indies,Kingston,West Indies,30-Aug-19,Test # 2359,shami-wkt-153,"Pant pockets another! Full, fast, and just outside off stump. Roach can't resist the drive, but the ball takes the edge of his bat. Comfortably taken by the wicketkeeper. India need one more wicket.",,Keeper,"153. KAJ Roach c RR Pant b Shami
Test Match#: 42.0: v West Indies at Kingston in 2019 (2nd innings)",Shami
43,154,T Bavuma,bowled,,0,4,v South Africa,Visakhapatnam,India,02-Oct-19,Test # 2363,shami-wkt-154,"GONE RIGHT THROUGH HIM! This pitch is playing some tricks now, though this was well directed from Shami. A length ball, and keeps quite low, and Bavuma tries to adjust, but cannot bring his bat down on time. Goes right through him, and he topples over as he loses his balance. South Africa are unravelling now. They need a hero or two.",,,"154. T Bavuma b  Shami
Test Match#: 43.0: v South Africa at Visakhapatnam in 2019 (2nd innings)",Shami
43,155,F du Plessis,bowled,,13,4,v South Africa,Visakhapatnam,India,02-Oct-19,Test # 2363,shami-wkt-155,"OH, HE'S DONE HIM IN! Faf du Plessis has been leaving a number of balls around off and just outside, and that's where this ball from Shami starts. There's a sharp movement back in after pitching, though, and it comes shooting right back and takes off-stump with it. Du Plessis can only look in disbelief, and then begins to drag himself off the square. Shami goes off in celebration, arms spread wide open. India can probably begin to get their first sights of the final leg of this effort.",,,"155. F du Plessis b  Shami
Test Match#: 43.0: v South Africa at Visakhapatnam in 2019 (2nd innings)",Shami
43,156,Q de Kock,bowled,,0,4,v South Africa,Visakhapatnam,India,02-Oct-19,Test # 2363,shami-wkt-156,"bowled through the gate. De Kock was caught at the crease to a length ball around off, looks to push tentatively, hoping it will go across him but the ball straightens after pitching and crashes into the off stump.",,,"156. Q de Kock b  Shami
Test Match#: 43.0: v South Africa at Visakhapatnam in 2019 (2nd innings)",Shami
43,157,DL Piedt,bowled,,56,4,v South Africa,Visakhapatnam,India,02-Oct-19,Test # 2363,shami-wkt-157,"and he strikes straightaway! Piedt's resistance comes to an end. It touch fuller outside off, Piedt looks to drive away from the body, gets an inside edge on to the stumps. India one wicket away from victory now.",,,"157. DL Piedt b  Shami
Test Match#: 43.0: v South Africa at Visakhapatnam in 2019 (2nd innings)",Shami
43,158,K Rabada,caught,WP Saha,18,4,v South Africa,Visakhapatnam,India,02-Oct-19,Test # 2363,shami-wkt-158,"and there is that edge. Saha makes no mistake, Shami gets five. Fuller outside off, Rabada once again goes for a big drive, gets a healthy edge and an easy catch for Saha.",,Keeper,"158. K Rabada c WP Saha b Shami
Test Match#: 43.0: v South Africa at Visakhapatnam in 2019 (2nd innings)",Shami
44,159,T Bavuma,caught,WP Saha,8,2,v South Africa,Pune,India,10-Oct-19,Test # 2364,shami-wkt-159,"huge appeal for caught behind and not given. Kohli has opted to review. Back of a length, moving away a touch in the channel, gets him to follow the ball with his hands. The ball climbing as it passed him possibly drew him into following it, couldn't adjust quickly enough to drop his hands. And DRS shows a spike as the ball passes bat so Shami has struck first ball! And an excellent first ball it was too, rearing up from a length all the way to the keeper. Saha was appealing vociferously immediately..",,Keeper,"159. T Bavuma c WP Saha b Shami
Test Match#: 44.0: v South Africa at Pune in 2019 (1st innings)",Shami
44,160,A Nortje,caught,V Kohli,3,2,v South Africa,Pune,India,10-Oct-19,Test # 2364,shami-wkt-160,"Shami has bounced out the nightwatchman! Short and kicks up outside off, Nortje is caught in a tangle. He hops and fends at it as opposed to avoiding it, and offers a catch to fourth slip. Kohli dives low to his right and grabs it with both hands.",,slip-cordon,"160. A Nortje c V Kohli b Shami
Test Match#: 44.0: v South Africa at Pune in 2019 (1st innings)",Shami
44,161,S Muthusamy,caught,RG Sharma,9,3,v South Africa,Pune,India,10-Oct-19,Test # 2364,shami-wkt-161,"Fended to second slip! This is a snorter from Shami. Back of a length, angling in from round the stumps, then kicks away outside off. Not too dissimilar from the Nortje dismissal - except Muthusamy is a left-hander. You can't do anything but fend at it, hoping it doesn't carry. This, however, flies through to Rohit. India three away from securing the series.",,slip-cordon,"161. S Muthusamy c RG Sharma b Shami
Test Match#: 44.0: v South Africa at Pune in 2019 (2nd innings)",Shami
45,162,D Elgar,caught,WP Saha,0,2,v South Africa,Ranchi,India,19-Oct-19,Test # 2365,shami-wkt-162,"Shami spins around and appeals for caught behind. Given! Back of a length and Shami finds some sharp extra bounce outside off, Elgar was in two minds: whether to play or to leave. He doesn't quite drop his gloves in the end. The ball brushes the gloves and nicely settles into the gloves of Saha. Elgar bags a duck.",,Keeper,"162. D Elgar c WP Saha b Shami
Test Match#: 45.0: v South Africa at Ranchi in 2019 (1st innings)",Shami
45,163,DL Piedt,lbw,,4,2,v South Africa,Ranchi,India,19-Oct-19,Test # 2365,shami-wkt-163,"rooted to the crease, ball angles in, beats him for pace and thuds him low on the left pad. That is plumb, would've crashed into leg stump..",,,"163. DL Piedt lbw  Shami
Test Match#: 45.0: v South Africa at Ranchi in 2019 (1st innings)",Shami
45,164,Zubayr Hamza,bowled,,0,3,v South Africa,Ranchi,India,19-Oct-19,Test # 2365,shami-wkt-164,"Shami gets in on the act too now! Perfect length, and just straightens after being angled in. Like a quick leg-break, and Hamza is just a touch late on it. It's a beautiful ball to get on a good day, and when you are beaten and defeated across three Test matches, it becomes almost unplayable. Shami celebrates with his right arm pointing upwards, and the Indian new ball bowlers continue to torment the South African top order!.",,,"164. Zubayr Hamza b  Shami
Test Match#: 45.0: v South Africa at Ranchi in 2019 (2nd innings)",Shami
45,165,F du Plessis,lbw,,4,3,v South Africa,Ranchi,India,19-Oct-19,Test # 2365,shami-wkt-165,"length ball, angles into du Plessis, Keeps low, and has struck him on the pad. Looks plumb, and given! He's reviewed, but with a helpless expression as he did so. It's in line, and going on to hit the top of off and middle. That's the end of Faf du Plessis for this tour, one that began with a defiant innings from the lower-middle order in Vizag, but ends in a whimper!.",,,"165. F du Plessis lbw  Shami
Test Match#: 45.0: v South Africa at Ranchi in 2019 (2nd innings)",Shami
45,166,T Bavuma,caught,WP Saha,0,3,v South Africa,Ranchi,India,19-Oct-19,Test # 2365,shami-wkt-166,"edged and gone! Draws him forward with the length, Bavuma pokes at this and gets just a thin edge as the ball nips away and Saha does the rest. Beautiful bowling from Shami, landed this on the seam. Are we looking at a three-day finish here?.",,Keeper,"166. T Bavuma c WP Saha b Shami
Test Match#: 45.0: v South Africa at Ranchi in 2019 (2nd innings)",Shami
46,167,Mohammad Mithun,lbw,,13,1,v Bangladesh,Indore,India,14-Nov-19,Test # 2366,shami-wkt-167,"full on middle stump, and the batsman comes forward to defend, but the ball swings away late and hits his pad instead. Shami appeals and the umpire is swift in raising his finger. Mithun chats with Mominul but chooses not to review. Bangladesh are now in trouble.",,,"167. Mohammad Mithun lbw  Shami
Test Match#: 46.0: v Bangladesh at Indore in 2019 (1st innings)",Shami
46,168,Mushfiqur Rahim,bowled,,43,1,v Bangladesh,Indore,India,14-Nov-19,Test # 2366,shami-wkt-168,"swinging in! Full, outside off but searing inwards. Shami bowled this from slightly wide of the crease and the ball coming in has done the trick. Mushfiqur tried to cut it towards third man, but is too late into the shot. By the time he brings the bat down, his off stump is already on the floor..",,,"168. Mushfiqur Rahim b  Shami
Test Match#: 46.0: v Bangladesh at Indore in 2019 (1st innings)",Shami
46,169,Mehidy Hasan Miraz,lbw,,0,1,v Bangladesh,Indore,India,14-Nov-19,Test # 2366,shami-wkt-169,"Shami strikes again! Miraz is looking at the non-striker, asking whether he should review, but Liton has turned his back to him. Full, on off and before Miraz can bring his bat down, the ball has struck his front leg. Tea break, with Shami on a hat-trick Just by the way, Mehidy should've reviewed though.... because replays show that the ball would've missed leg stump.",,,"169. Mehidy Hasan Miraz lbw  Shami
Test Match#: 46.0: v Bangladesh at Indore in 2019 (1st innings)",Shami
46,170,Mominul Haque,lbw,,7,3,v Bangladesh,Indore,India,14-Nov-19,Test # 2366,shami-wkt-170,"Huge appeal for lbw as Mominul is rapped on the pad as Shami brings it back from around the stumps, given not out and Kohli has reviewed. The leg stump was visible at the point of impact, which suggests he had shuffled a long way. Hawkeye confirms the ball would've smashed leg stump so Rod Tucker has to change his decision..",,,"170. Mominul Haque lbw  Shami
Test Match#: 46.0: v Bangladesh at Indore in 2019 (2nd innings)",Shami
46,171,Mohammad Mithun,caught,MA Agarwal,18,3,v Bangladesh,Indore,India,14-Nov-19,Test # 2366,shami-wkt-171,"skiddy bouncer which Mithun looks to take on, but can only get it high on the bat and Agarwal takes an absolute dolly at midwicket. Bangladesh folding rapidly..",,InField,"171. Mohammad Mithun c MA Agarwal b Shami
Test Match#: 46.0: v Bangladesh at Indore in 2019 (2nd innings)",Shami
46,172,Mahmudullah,caught,RG Sharma,15,3,v Bangladesh,Indore,India,14-Nov-19,Test # 2366,shami-wkt-172,"and Rohit makes no mistake this time. Was a length ball outside off, just leaving the batsman who pokes at it and gets a healthy edge to second slip. Half the Bangladesh side are back in the pavilion.",,slip-cordon,"172. Mahmudullah c RG Sharma b Shami
Test Match#: 46.0: v Bangladesh at Indore in 2019 (2nd innings)",Shami
46,173,Taijul Islam,caught,WP Saha,6,3,v Bangladesh,Indore,India,14-Nov-19,Test # 2366,shami-wkt-173,"short one does the trick. Shami has his fourth. Was a bouncer aimed at the head. Taijul fends at it, the ball takes the shoulder of the bat and lobs behind the stumps. Saha takes a couple of steps forward and pouches it easily.",,Keeper,"173. Taijul Islam c WP Saha b Shami
Test Match#: 46.0: v Bangladesh at Indore in 2019 (2nd innings)",Shami
47,174,Mushfiqur Rahim,bowled,,0,1,v Bangladesh,Eden Gardens,India,22-Nov-19,Test # 2369,shami-wkt-174,"chopped it on. Mushfiqur gets bowled quite a lot, leaving a gap between bat and pad, and on this occasion the ball cannons into the stumps off the inside edge. Back of a length close to off stump, came back in slightly, and Mushfiqur defends slightly outside the line, and that's enough to bring the inside edge into play.",,,"174. Mushfiqur Rahim b  Shami
Test Match#: 47.0: v Bangladesh at Eden Gardens in 2019 (1st innings)",Shami
47,175,Abu Jayed,caught,CA Pujara,0,1,v Bangladesh,Eden Gardens,India,22-Nov-19,Test # 2369,shami-wkt-175,"got him, Pujara bags a one-bounce catch at first slip. Short outside off, Al-Amin has a little chop at it, and he ends up hitting it straight to Rohit at second slip. He juggles it, and the ball pops into the waiting hands of Pujara. Fiftieth catch in Test cricket for India's No. 3.",Yes,slip-cordon,"175. Abu Jayed c CA Pujara b Shami
Test Match#: 47.0: v Bangladesh at Eden Gardens in 2019 (1st innings)",Shami
48,176,KS Williamson,caught,RA Jadeja (sub),89,2,v New Zealand,Wellington,New Zealand,21-Feb-20,Test # 2385,shami-wkt-176,,,,"176. KS Williamson c RA Jadeja (sub) b Shami
Test Match#: 48.0: v New Zealand at Wellington in 2020 (1st innings)",Shami
49,177,TWM Latham,bowled,,52,2,v New Zealand,Christchurch,New Zealand,29-Feb-20,Test # 2387,shami-wkt-177,"that is a Shami special! Latham decides to leave and it's a horrendous decision as the ball jags back in a long way to crash into the stumps. You just saw this coming and India are chipping away. Latham trusted the bounce, expecting this to go over. But it didn't..",,,"177. TWM Latham b  Shami
Test Match#: 49.0: v New Zealand at Christchurch in 2020 (1st innings)",Shami
49,178,HM Nicholls,caught,V Kohli,14,2,v New Zealand,Christchurch,New Zealand,29-Feb-20,Test # 2387,shami-wkt-178,"got him! Kohli pulls off a stunner diving to his right at second slip. He's claiming the catch but Nicholls isn't going anywhere. The soft signal is OUT. Will be close. Let's see. On first sighting of the replay, there appears to be some doubt. This is going to be an incredibly hard decision to make for Aleem Dar. But he's convinced the fingers are underneath so the onfield decision stays. Five wickets in the session for India and counting. Credit to Shami as much as it must be given to Kohli. That angle from around the wicket has been troubling the left-handers..",,slip-cordon,"178. HM Nicholls c V Kohli b Shami
Test Match#: 49.0: v New Zealand at Christchurch in 2020 (1st innings)",Shami
49,179,N Wagner,caught,RA Jadeja,21,2,v New Zealand,Christchurch,New Zealand,29-Feb-20,Test # 2387,shami-wkt-179,"outstanding from Jadeja! You wouldn't have been wrong in looking at the boundary thinking it'd be six. But no, because there's a superman called Sir Jadeja. He was three-fourths to the rope at deep square, and so he had to leap high, which he did. Then he put his left hand out instinctively and it stuck. The balance after it got stuck was even better. At no stage did he try to juggle or lose control over the ball. Incredible..",,,"179. N Wagner c RA Jadeja b Shami
Test Match#: 49.0: v New Zealand at Christchurch in 2020 (1st innings)",Shami
49,180,KA Jamieson,caught,RR Pant,49,2,v New Zealand,Christchurch,New Zealand,29-Feb-20,Test # 2387,shami-wkt-180,"straight up in the air, brilliant catch by Pant running back and then sideways as this swirled. Jamieson will have to wait for a maiden Test fifty. This was banged in short, Jamieson went for the pull, this went a long, long way up and Pant had to run a good 30 yards or so to his right. Then he put in the dive to complete the catch. Superb effort. India grab a very slender lead and that's tea on day two..",,Keeper,"180. KA Jamieson c RR Pant b Shami
Test Match#: 49.0: v New Zealand at Christchurch in 2020 (1st innings)",Shami
51,181,LRPL Taylor,caught,Shubman Gill,11,2,v New Zealand,Southampton,England,18-Jun-21,Test # 2425,shami-wkt-181,"gets him driving, swallowed in the covers! Superbly taken by Gill, launching himself forward to take the ball low to his right - and India have their wicket! Jubilation for India, Kohli comes roaring up. Shami is the man, getting it full and demanding a stroke. Taylor actually connected pretty well but he wasn't over the top of his shot and Gill did the rest.",,InField,"181. LRPL Taylor c Shubman Gill b Shami
Test Match#: 51.0: v New Zealand at Southampton in 2021 (1st innings)",Shami
